step,reward_tcp_lead_0
0,-0.25
1,-0.25
2,-0.25
3,-0.25
4,-0.25
5,-0.25
6,-0.25
7,-0.25
8,-0.25
9,-0.25
10,-0.25
11,-0.25
12,-0.25
13,-0.25
14,-0.25
15,-0.25
16,-0.25
17,-0.25
18,-0.25
19,-0.25
20,-0.25
21,-0.25
22,-0.25
23,-0.25
24,-0.25
25,-0.25
26,-0.25
27,-0.25
28,-0.25
29,-0.25
30,-0.25
31,-0.25
32,-0.25
33,-0.25
34,-0.25
35,-0.25
36,-0.25
37,-0.25
38,-0.25
39,-0.25
40,-0.25
41,-0.25
42,-0.25
43,-0.25
44,-0.25
45,-0.25
46,-0.25
47,-0.25
48,-0.25
49,-0.25
50,-0.25
51,-0.25
52,-0.25
53,-0.25
54,-0.25
55,-0.25
56,-0.25
57,-0.25
58,-0.25
59,-0.25
60,-0.16770705580711365
61,-1.2665987014770508e-07
62,-1.2665987014770508e-07
63,-1.2665987014770508e-07
64,-1.2665987014770508e-07
65,-1.2665987014770508e-07
66,-1.2665987014770508e-07
67,-1.2665987014770508e-07
68,-1.2665987014770508e-07
69,-1.2665987014770508e-07
70,-1.2665987014770508e-07
71,-1.2665987014770508e-07
72,-1.2665987014770508e-07
73,-1.2665987014770508e-07
74,-1.2665987014770508e-07
75,-1.2665987014770508e-07
76,-1.2665987014770508e-07
77,-1.2665987014770508e-07
78,-1.2665987014770508e-07
79,-1.2665987014770508e-07
80,-1.2665987014770508e-07
81,-1.2665987014770508e-07
82,-1.2665987014770508e-07
83,-1.2665987014770508e-07
84,-1.2665987014770508e-07
85,-1.2665987014770508e-07
86,-1.2665987014770508e-07
87,-1.2665987014770508e-07
88,-1.2665987014770508e-07
89,-1.2665987014770508e-07
90,-1.2665987014770508e-07
91,-1.2665987014770508e-07
92,-1.2665987014770508e-07
93,-1.2665987014770508e-07
94,-1.2665987014770508e-07
95,-1.2665987014770508e-07
96,-1.2665987014770508e-07
97,-1.2665987014770508e-07
98,-1.2665987014770508e-07
99,-1.2665987014770508e-07
100,-1.2665987014770508e-07
101,-1.2665987014770508e-07
102,-1.2665987014770508e-07
103,-1.2665987014770508e-07
104,-1.2665987014770508e-07
105,-1.2665987014770508e-07
106,-1.2665987014770508e-07
107,-1.2665987014770508e-07
108,-1.2665987014770508e-07
109,-1.2665987014770508e-07
110,-1.2665987014770508e-07
111,-1.2665987014770508e-07
112,-1.2665987014770508e-07
113,-1.2665987014770508e-07
114,-1.2665987014770508e-07
115,-1.2665987014770508e-07
116,-1.2665987014770508e-07
117,-1.2665987014770508e-07
118,-1.2665987014770508e-07
119,-1.2665987014770508e-07
120,-1.2665987014770508e-07
121,-1.2665987014770508e-07
122,-1.2665987014770508e-07
123,-1.2665987014770508e-07
124,-1.2665987014770508e-07
125,-1.2665987014770508e-07
126,-1.2665987014770508e-07
127,-1.2665987014770508e-07
128,-1.2665987014770508e-07
129,-1.2665987014770508e-07
130,-1.2665987014770508e-07
131,-1.2665987014770508e-07
132,-1.2665987014770508e-07
133,-1.2665987014770508e-07
134,-1.2665987014770508e-07
135,-1.2665987014770508e-07
136,-1.2665987014770508e-07
137,-1.2665987014770508e-07
138,-1.2665987014770508e-07
139,-1.2665987014770508e-07
140,-1.2665987014770508e-07
141,-1.2665987014770508e-07
142,-1.2665987014770508e-07
143,-0.25
144,-0.25
145,-0.25
146,-0.25
147,-0.25
148,-0.25
149,-0.25
150,-0.25
151,-0.25
152,-0.25
153,-0.25
154,-0.25
155,-0.25
156,-0.25
157,-0.25
158,-0.25
159,-0.25
160,-0.25
161,-0.25
162,-0.25
163,-0.25
164,-0.25
165,-0.25
166,-0.25
167,-0.25
168,-0.25
169,-0.25
170,-0.25
171,-0.25
172,-0.25
173,-0.25
174,-0.25
175,-0.25
176,-0.25
177,-0.25
178,-0.25
179,-0.25
180,-0.25
181,-0.25
182,-0.25
183,-0.25
184,-0.25
185,-0.25
186,-0.25
187,-0.25
188,-0.25
189,-0.25
190,-0.25
191,-0.25
192,-0.25
193,-0.25
194,-0.25
195,-0.25
196,-0.25
197,-0.25
198,-0.25
