step,box_min_x_reference_0
0,0.32199999690055847
1,0.32199999690055847
2,0.32199999690055847
3,0.32199999690055847
4,0.32199999690055847
5,0.32199999690055847
6,0.32199999690055847
7,0.32199999690055847
8,0.32199999690055847
9,0.32199999690055847
10,0.32199999690055847
11,0.32199999690055847
12,0.32199999690055847
13,0.32199999690055847
14,0.32199999690055847
15,0.32199999690055847
16,0.32199999690055847
17,0.32199999690055847
18,0.32199999690055847
19,0.32199999690055847
20,0.32199999690055847
21,0.32199999690055847
22,0.32199999690055847
23,0.32199999690055847
24,0.32199999690055847
25,0.32199999690055847
26,0.32199999690055847
27,0.32199999690055847
28,0.32199999690055847
29,0.32199999690055847
30,0.32199999690055847
31,0.32199999690055847
32,0.32199999690055847
33,0.32199999690055847
34,0.32199999690055847
35,0.32199999690055847
36,0.32199999690055847
37,0.32199999690055847
38,0.32199999690055847
39,0.32199999690055847
40,0.32199999690055847
41,0.32199999690055847
42,0.32199999690055847
43,0.32199999690055847
44,0.32199999690055847
45,0.32199999690055847
46,0.32199999690055847
47,0.32199999690055847
48,0.32199999690055847
49,0.32199999690055847
50,0.32199999690055847
51,0.32199999690055847
52,0.32199999690055847
53,0.32199999690055847
54,0.32199999690055847
55,0.32199999690055847
56,0.32199999690055847
57,0.32199999690055847
58,0.32199999690055847
59,0.32199999690055847
60,0.32199999690055847
61,0.32199999690055847
62,0.32199999690055847
63,0.32199999690055847
64,0.32199999690055847
65,0.32199999690055847
66,0.32199999690055847
67,0.32199999690055847
68,0.32199999690055847
69,0.32199999690055847
70,0.32199999690055847
71,0.32199999690055847
72,0.32199999690055847
73,0.32199999690055847
74,0.32199999690055847
75,0.32199999690055847
76,0.32199999690055847
77,0.32199999690055847
78,0.32199999690055847
79,0.32199999690055847
80,0.32199999690055847
81,0.32199999690055847
82,0.32199999690055847
83,0.32199999690055847
84,0.32199999690055847
85,0.32199999690055847
86,0.32199999690055847
87,0.32199999690055847
88,0.32199999690055847
89,0.32199999690055847
90,0.32199999690055847
91,0.32199999690055847
92,0.32199999690055847
93,0.32199999690055847
94,0.32199999690055847
95,0.32199999690055847
96,0.32199999690055847
97,0.32199999690055847
98,0.32199999690055847
99,0.32199999690055847
100,0.32199999690055847
101,0.32199999690055847
102,0.32199999690055847
103,0.32199999690055847
104,0.32199999690055847
105,0.32199999690055847
106,0.32199999690055847
107,0.32199999690055847
108,0.32199999690055847
109,0.32199999690055847
110,0.32199999690055847
111,0.32199999690055847
112,0.32199999690055847
113,0.32199999690055847
114,0.32199999690055847
115,0.32199999690055847
116,0.32199999690055847
117,0.32199999690055847
118,0.32199999690055847
119,0.32199999690055847
120,0.32199999690055847
121,0.32199999690055847
122,0.32199999690055847
123,0.32199999690055847
124,0.32199999690055847
125,0.32199999690055847
126,0.32199999690055847
127,0.32199999690055847
128,0.32199999690055847
129,0.32199999690055847
130,0.32199999690055847
131,0.32199999690055847
132,0.32199999690055847
133,0.32199999690055847
134,0.32199999690055847
135,0.32199999690055847
136,0.32199999690055847
137,0.32199999690055847
138,0.32199999690055847
139,0.32199999690055847
140,0.32199999690055847
141,0.32199999690055847
142,0.32199999690055847
143,0.32199999690055847
144,0.32199999690055847
145,0.32199999690055847
146,0.32199999690055847
147,0.32199999690055847
148,0.32199999690055847
149,0.32199999690055847
150,0.32199999690055847
151,0.32199999690055847
152,0.32199999690055847
153,0.32199999690055847
154,0.32199999690055847
155,0.32199999690055847
156,0.32199999690055847
157,0.32199999690055847
158,0.32199999690055847
159,0.32199999690055847
160,0.32199999690055847
161,0.32199999690055847
162,0.32199999690055847
163,0.32199999690055847
164,0.32199999690055847
165,0.32199999690055847
166,0.32199999690055847
167,0.32199999690055847
168,0.32199999690055847
169,0.32199999690055847
170,0.32199999690055847
171,0.32199999690055847
172,0.32199999690055847
173,0.32199999690055847
174,0.32199999690055847
175,0.32199999690055847
176,0.32199999690055847
177,0.32199999690055847
178,0.32199999690055847
179,0.32199999690055847
180,0.32199999690055847
181,0.32199999690055847
182,0.32199999690055847
183,0.32199999690055847
184,0.32199999690055847
185,0.32199999690055847
186,0.32199999690055847
187,0.32199999690055847
188,0.32199999690055847
189,0.32199999690055847
190,0.32199999690055847
191,0.32199999690055847
192,0.32199999690055847
193,0.32199999690055847
194,0.32199999690055847
195,0.32199999690055847
196,0.32199999690055847
197,0.32199999690055847
198,0.32199999690055847
