step,initial_forward_side_center_0,initial_forward_side_center_1,initial_forward_side_center_2
0,-0.30544814467430115,0.10516329109668732,0.05700000002980232
1,-0.30544814467430115,0.10516329109668732,0.05700000002980232
2,-0.30544814467430115,0.10516329109668732,0.05700000002980232
3,-0.30544814467430115,0.10516329109668732,0.05700000002980232
4,-0.30544814467430115,0.10516329109668732,0.05700000002980232
5,-0.30544814467430115,0.10516329109668732,0.05700000002980232
6,-0.30544814467430115,0.10516329109668732,0.05700000002980232
7,-0.30544814467430115,0.10516329109668732,0.05700000002980232
8,-0.30544814467430115,0.10516329109668732,0.05700000002980232
9,-0.30544814467430115,0.10516329109668732,0.05700000002980232
10,-0.30544814467430115,0.10516329109668732,0.05700000002980232
11,-0.30544814467430115,0.10516329109668732,0.05700000002980232
12,-0.30544814467430115,0.10516329109668732,0.05700000002980232
13,-0.30544814467430115,0.10516329109668732,0.05700000002980232
14,-0.30544814467430115,0.10516329109668732,0.05700000002980232
15,-0.30544814467430115,0.10516329109668732,0.05700000002980232
16,-0.30544814467430115,0.10516329109668732,0.05700000002980232
17,-0.30544814467430115,0.10516329109668732,0.05700000002980232
18,-0.30544814467430115,0.10516329109668732,0.05700000002980232
19,-0.30544814467430115,0.10516329109668732,0.05700000002980232
20,-0.30544814467430115,0.10516329109668732,0.05700000002980232
21,-0.30544814467430115,0.10516329109668732,0.05700000002980232
22,-0.30544814467430115,0.10516329109668732,0.05700000002980232
23,-0.30544814467430115,0.10516329109668732,0.05700000002980232
24,-0.30544814467430115,0.10516329109668732,0.05700000002980232
25,-0.30544814467430115,0.10516329109668732,0.05700000002980232
26,-0.30544814467430115,0.10516329109668732,0.05700000002980232
27,-0.30544814467430115,0.10516329109668732,0.05700000002980232
28,-0.30544814467430115,0.10516329109668732,0.05700000002980232
29,-0.30544814467430115,0.10516329109668732,0.05700000002980232
30,-0.30544814467430115,0.10516329109668732,0.05700000002980232
31,-0.30544814467430115,0.10516329109668732,0.05700000002980232
32,-0.30544814467430115,0.10516329109668732,0.05700000002980232
33,-0.30544814467430115,0.10516329109668732,0.05700000002980232
34,-0.30544814467430115,0.10516329109668732,0.05700000002980232
35,-0.30544814467430115,0.10516329109668732,0.05700000002980232
36,-0.30544814467430115,0.10516329109668732,0.05700000002980232
37,-0.30544814467430115,0.10516329109668732,0.05700000002980232
38,-0.30544814467430115,0.10516329109668732,0.05700000002980232
39,-0.30544814467430115,0.10516329109668732,0.05700000002980232
40,-0.30544814467430115,0.10516329109668732,0.05700000002980232
41,-0.30544814467430115,0.10516329109668732,0.05700000002980232
42,-0.30544814467430115,0.10516329109668732,0.05700000002980232
43,-0.30544814467430115,0.10516329109668732,0.05700000002980232
44,-0.30544814467430115,0.10516329109668732,0.05700000002980232
45,-0.30544814467430115,0.10516329109668732,0.05700000002980232
46,-0.30544814467430115,0.10516329109668732,0.05700000002980232
47,-0.30544814467430115,0.10516329109668732,0.05700000002980232
48,-0.30544814467430115,0.10516329109668732,0.05700000002980232
49,-0.30544814467430115,0.10516329109668732,0.05700000002980232
50,-0.30544814467430115,0.10516329109668732,0.05700000002980232
51,-0.30544814467430115,0.10516329109668732,0.05700000002980232
52,-0.30544814467430115,0.10516329109668732,0.05700000002980232
53,-0.30544814467430115,0.10516329109668732,0.05700000002980232
54,-0.30544814467430115,0.10516329109668732,0.05700000002980232
55,-0.30544814467430115,0.10516329109668732,0.05700000002980232
56,-0.30544814467430115,0.10516329109668732,0.05700000002980232
57,-0.30544814467430115,0.10516329109668732,0.05700000002980232
58,-0.30544814467430115,0.10516329109668732,0.05700000002980232
59,-0.30544814467430115,0.10516329109668732,0.05700000002980232
60,-0.30544814467430115,0.10516329109668732,0.05700000002980232
61,-0.30544814467430115,0.10516329109668732,0.05700000002980232
62,-0.30544814467430115,0.10516329109668732,0.05700000002980232
63,-0.30544814467430115,0.10516329109668732,0.05700000002980232
64,-0.30544814467430115,0.10516329109668732,0.05700000002980232
65,-0.30544814467430115,0.10516329109668732,0.05700000002980232
66,-0.30544814467430115,0.10516329109668732,0.05700000002980232
67,-0.30544814467430115,0.10516329109668732,0.05700000002980232
68,-0.30544814467430115,0.10516329109668732,0.05700000002980232
69,-0.30544814467430115,0.10516329109668732,0.05700000002980232
70,-0.30544814467430115,0.10516329109668732,0.05700000002980232
71,-0.30544814467430115,0.10516329109668732,0.05700000002980232
72,-0.30544814467430115,0.10516329109668732,0.05700000002980232
73,-0.30544814467430115,0.10516329109668732,0.05700000002980232
74,-0.30544814467430115,0.10516329109668732,0.05700000002980232
75,-0.30544814467430115,0.10516329109668732,0.05700000002980232
76,-0.30544814467430115,0.10516329109668732,0.05700000002980232
77,-0.30544814467430115,0.10516329109668732,0.05700000002980232
78,-0.30544814467430115,0.10516329109668732,0.05700000002980232
79,-0.30544814467430115,0.10516329109668732,0.05700000002980232
80,-0.30544814467430115,0.10516329109668732,0.05700000002980232
81,-0.30544814467430115,0.10516329109668732,0.05700000002980232
82,-0.30544814467430115,0.10516329109668732,0.05700000002980232
83,-0.30544814467430115,0.10516329109668732,0.05700000002980232
84,-0.30544814467430115,0.10516329109668732,0.05700000002980232
85,-0.30544814467430115,0.10516329109668732,0.05700000002980232
86,-0.30544814467430115,0.10516329109668732,0.05700000002980232
87,-0.30544814467430115,0.10516329109668732,0.05700000002980232
88,-0.30544814467430115,0.10516329109668732,0.05700000002980232
89,-0.30544814467430115,0.10516329109668732,0.05700000002980232
90,-0.30544814467430115,0.10516329109668732,0.05700000002980232
91,-0.30544814467430115,0.10516329109668732,0.05700000002980232
92,-0.30544814467430115,0.10516329109668732,0.05700000002980232
93,-0.30544814467430115,0.10516329109668732,0.05700000002980232
94,-0.30544814467430115,0.10516329109668732,0.05700000002980232
95,-0.30544814467430115,0.10516329109668732,0.05700000002980232
96,-0.30544814467430115,0.10516329109668732,0.05700000002980232
97,-0.30544814467430115,0.10516329109668732,0.05700000002980232
98,-0.30544814467430115,0.10516329109668732,0.05700000002980232
99,-0.30544814467430115,0.10516329109668732,0.05700000002980232
100,-0.30544814467430115,0.10516329109668732,0.05700000002980232
101,-0.30544814467430115,0.10516329109668732,0.05700000002980232
102,-0.30544814467430115,0.10516329109668732,0.05700000002980232
103,-0.30544814467430115,0.10516329109668732,0.05700000002980232
104,-0.30544814467430115,0.10516329109668732,0.05700000002980232
105,-0.30544814467430115,0.10516329109668732,0.05700000002980232
106,-0.30544814467430115,0.10516329109668732,0.05700000002980232
107,-0.30544814467430115,0.10516329109668732,0.05700000002980232
108,-0.30544814467430115,0.10516329109668732,0.05700000002980232
109,-0.30544814467430115,0.10516329109668732,0.05700000002980232
110,-0.30544814467430115,0.10516329109668732,0.05700000002980232
111,-0.30544814467430115,0.10516329109668732,0.05700000002980232
112,-0.30544814467430115,0.10516329109668732,0.05700000002980232
113,-0.30544814467430115,0.10516329109668732,0.05700000002980232
114,-0.30544814467430115,0.10516329109668732,0.05700000002980232
115,-0.30544814467430115,0.10516329109668732,0.05700000002980232
116,-0.30544814467430115,0.10516329109668732,0.05700000002980232
117,-0.30544814467430115,0.10516329109668732,0.05700000002980232
118,-0.30544814467430115,0.10516329109668732,0.05700000002980232
119,-0.30544814467430115,0.10516329109668732,0.05700000002980232
120,-0.30544814467430115,0.10516329109668732,0.05700000002980232
121,-0.30544814467430115,0.10516329109668732,0.05700000002980232
122,-0.30544814467430115,0.10516329109668732,0.05700000002980232
123,-0.30544814467430115,0.10516329109668732,0.05700000002980232
124,-0.30544814467430115,0.10516329109668732,0.05700000002980232
125,-0.30544814467430115,0.10516329109668732,0.05700000002980232
126,-0.30544814467430115,0.10516329109668732,0.05700000002980232
127,-0.30544814467430115,0.10516329109668732,0.05700000002980232
128,-0.30544814467430115,0.10516329109668732,0.05700000002980232
129,-0.30544814467430115,0.10516329109668732,0.05700000002980232
130,-0.30544814467430115,0.10516329109668732,0.05700000002980232
131,-0.30544814467430115,0.10516329109668732,0.05700000002980232
132,-0.30544814467430115,0.10516329109668732,0.05700000002980232
133,-0.30544814467430115,0.10516329109668732,0.05700000002980232
134,-0.30544814467430115,0.10516329109668732,0.05700000002980232
